Protein.Acc,uniprot,Protein.Descriptions,up/low,P value.(up/low),length,Mass,pI,charge,alphaHelixIndex,BetaSheet,hdrophobicity,instabilityIndex
AT1G02816.1,Q9SRX5,"Protein of unknown function, DUF538",0.910502074,0.146109414,166,18496.23764,4.848723721482875,-4.528817028170296,0.6593534415792497,0.6468477136846579,0.17409638554216864,38.19397590361446
AT1G02900.1,Q9SRY3,rapid alkalinization factor 1,1.53277092,0.00212081,120,12966.61554,8.105494209437754,0.20523854827354682,0.7401785345103835,0.6895449643478578,-0.20583333333333337,55.707499999999996
AT1G02930.1,P42760,glutathione S-transferase 6,1.891603027,2.26865e-6,208,23485.93364,6.177378823631593,-6.910734552697823,0.5268148619449685,0.7148167037491681,-0.21875,26.275000000000002
AT1G03220.1,Q9ZVS4,Eukaryotic aspartyl protease family protein,0.94096998,0.663926998,433,45717.36944,8.780696232330968,5.430984021784479,0.7866720620548825,0.6048212501992088,0.23625866050808314,34.66812933025405
AT1G03330.1,Q1H595,Small nuclear ribonucleoprotein family protein,1.32006045,0.006822988,93,10694.25174,7.605733189600237,-0.28919149024325996,0.7292963653704295,0.7042228576381528,-0.26129032258064516,10.916129032258066
AT1G03860.1,Q9ZNT7,prohibitin 2,0.728134731,0.010092976,286,31810.64344,9.868600112706636,5.978014956139814,0.8249180579367088,0.8022860368975254,-0.15454545454545457,37.941958041958046
AT1G03870.1,Q9ZWA8,FASCICLIN-like arabinoogalactan 9,1.298026354,0.00964062,247,26114.96494,9.316795172088073,2.684355461700989,0.57127106794394,0.6240794784292996,4.048582995951223e-4,33.373279352226724
AT1G04170.1,O64490,eukaryotic translation initiation factor 2 gamma subunit,1.316327282,3.93443e-4,465,50853.41764,9.03733050259946,6.375611891354634,0.7861450879495376,0.6880234553515672,-0.019354838709677427,39.96602150537635
AT1G04260.1,P93829,CAMV movement protein interacting protein 7,1.526669538,0.004781081,182,19325.31834,4.414327535330828,-6.0029984282124484,0.5975145838398869,0.7673811081047354,0.6593406593406593,20.335164835164836
AT1G04280.1,Q0WUY1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.862401914,0.027897893,534,59977.31144,6.445366951848802,-7.385672010391836,0.8474223826960015,0.6857973995759434,-0.43951310861423226,46.38445692883895
AT1G04410.1,P93819,Lactate/malate dehydrogenase family protein,1.397157214,2.39779e-4,332,35570.96644,6.513273565760385,-4.754483592751463,0.7211673389162567,0.6109319469825135,0.01265060240963855,36.72620481927711
AT1G04430.1,Q940J9,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.655780169,6.03886e-4,623,70508.21564,6.561994790663702,-11.374877262750564,0.7134440133707222,0.7320906041141427,-0.40513643659711074,41.53595505617977
AT1G04690.1,O23016,potassium channel beta subunit 1,1.827279025,2.89397e-6,328,36538.66104,7.495794093526146,-1.2028163124458686,0.693449280289853,0.5968539892230217,-0.28292682926829266,27.899085365853658
AT1G04710.1,Q8LF48,peroxisomal 3-ketoacyl-CoA thiolase  4,0.718978232,4.05273e-4,443,46611.29004,8.408104276223952,2.069263445545245,0.6598080856105677,0.6261513351169891,-0.061173814898419866,30.5744920993228
AT1G04780.1,Q8GXW8,Ankyrin repeat family protein,0.992404759,0.905966467,664,74359.80824,8.43770898732177,1.5801529879255352,0.8982951071353434,0.7196089331811636,-0.6730421686746988,60.09322289156626
AT1G04850.1,Q9MAT3,ubiquitin-associated (UBA)/TS-N domain-containing protein,1.295329691,0.323681082,413,46603.09534,6.037659988859541,-8.032177918477203,0.7844726378820263,0.8795162046394238,-0.7527845036319613,49.56537530266343
AT1G04900.1,Q94C90,Protein of unknown function (DUF185),0.672786018,0.002916044,442,50604.49234,8.569259471747301,3.30681242135691,0.8778674248975927,0.6913095401101215,-0.37058823529411766,41.18778280542986
AT1G04910.1,Q8W486,O-fucosyltransferase family protein,0.677670022,7.73254e-5,519,59042.85654,9.769300973831083,15.149621450324247,0.7096031191736142,0.9415139079199929,-0.43776493256262045,44.70558766859345
AT1G04980.1,Q9MAU6,PDI-like 2-2,0.687906334,7.47643e-6,447,48403.15814,6.386921706439105,-5.7147056167816705,0.709627890204538,0.7034150046224498,-0.2901565995525727,28.606935123042508
AT1G04985.1,Q84JL8,unknown protein; Has 37 Blast hits to 37 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.675206867,2.55982e-4,193,21924.44104,11.568949893724318,20.67441355185243,0.7042192194660826,0.7650282268718983,-0.516580310880829,35.629533678756474
AT1G05150.1,O23052,Calcium-binding tetratricopeptide family protein,1.883100927,3.02205e-6,808,90169.37954,6.731132874899494,-11.060396127782806,0.9488549925705894,0.8995618079467911,-0.41930693069306935,33.74665841584159
AT1G05190.1,O23049,Ribosomal protein L6 family,2.009081584,6.09972e-7,223,24705.62744,10.554627808609778,15.648888364834427,0.7084711863925505,0.6548639067189439,-0.43542600896860983,35.587892376681616
AT1G05205.1,Q8LG56,unknown protein; Has 44 Blast hits to 44 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.8730856,0.283540326,91,10676.21094,7.419232293201741,-0.59153244910465,0.739699503904432,0.6191851996102427,-1.0835164835164837,68.76263736263736
AT1G05270.1,Q8GXY6,TraB family protein,0.469341872,8.72955e-5,371,40741.71624,4.631782085956731,-20.428883739414346,0.651862133962874,0.5347365303376623,-0.04150943396226416,50.9611859838275
AT1G05350.1,O23034,NAD(P)-binding Rossmann-fold superfamily protein,1.102771213,0.607810772,431,47020.17264,4.313843912425042,-29.96881486026487,0.6369231611770839,0.6345717483969419,-0.21345707656612528,37.52807424593968
AT1G05430.1,Q8LC42,unknown protein; Has 31 Blast hits to 31 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.630751568,9.81969e-5,269,29861.70834,10.389091508220536,11.402474344086055,0.6358575661321004,0.6359500776908397,-0.6275092936802974,54.906691449814126
AT1G05500.1,Q8L706,Calcium-dependent lipid-binding (CaLB domain) family protein,0.780041585,0.010694074,560,62928.81494,5.609458759686727,-10.193591961188138,0.821713619180133,0.8628179116737883,-0.06250000000000001,27.86017857142857
AT1G05520.1,Q8H0S3,Sec23/Sec24 protein transport family protein,1.522812461,1.93326e-4,783,86357.15274,5.328171209253338,-21.837924985284815,0.81380486472049,0.7710618071197416,-0.12694763729246492,41.870114942528744
AT1G05720.1,Q8GWP6,selenoprotein family protein,0.482645113,2.13519e-6,163,18573.57394,4.813546702581978,-9.076211760515053,0.5224652200498633,0.5817790211494703,-0.2085889570552147,55.39877300613497
AT1G05840.1,Q9MA42,Eukaryotic aspartyl protease family protein,1.442149553,1.1749e-5,485,53297.08804,6.046784048670948,-11.432317313574908,0.5909332275776792,0.7838108831661635,0.004948453608247399,33.91752577319588
AT1G05850.1,Q9MA41,Chitinase family protein,0.973900702,0.63773704,321,35579.47914,7.629040450821607,-1.9963392469372763,0.7518902024726386,0.6142493043118908,-0.20249221183800623,33.265420560747664
AT1G05940.1,Q9C5D6,cationic amino acid transporter 9,0.747730517,0.26525868,569,60176.29434,7.66478412612303,-2.4867373904808914,0.5933641022982235,0.6708585741980256,0.7525483304042179,41.281195079086125
AT1G06200.1,Q8W476,Peptidase S24/S26A/S26B/S26C family protein,0.684326444,1.25514e-5,206,23249.55414,5.390415541644924,-6.595053168717664,0.5736538031519056,0.5545801991712517,-0.3368932038834952,28.927184466019416
AT1G06220.2,Q9LNC5,Ribosomal protein S5/Elongation factor G/III/V family protein,1.981706201,1.28854e-5,987,110441.70384,4.819826882812477,-44.85469725414487,0.789709836990308,0.9099498322401156,-0.2632218844984803,43.521479229989865
AT1G06290.1,Q9LLH9,acyl-CoA oxidase 3,0.546991775,3.74824e-5,675,75676.33354,8.081000892522352,-0.09213480365678495,0.6647478223014486,0.8430066864870386,-0.2604444444444445,41.427259259259266
AT1G06400.1,P28185,Ras-related small GTP-binding family protein,1.030120923,0.595749394,216,23927.12774,6.937085134582808,-1.8995750239790858,0.8172828840847006,0.7369756829070758,-0.30509259259259264,29.4375
AT1G06430.1,Q8W585,FTSH protease 8,1.31642905,0.005213281,685,73198.46264,5.6821880687069495,-7.889602610274314,0.8010347018835539,0.7969828382263201,-0.12525547445255475,32.07883211678832
AT1G06530.1,Q9SHJ6,Tropomyosin-related,0.540769645,2.70867e-5,323,36119.303140000004,4.463463417897038,-25.32010903793743,0.6707352340164063,0.761193956278257,-0.8436532507739938,52.98452012383901
AT1G06560.1,Q84MA1,NOL1/NOP2/sun family protein,1.022220964,0.82011407,599,65512.50654,7.030703229030064,-6.684871108508883,0.7812900457250982,0.9089818228962884,-0.30233722871452423,44.58497495826377
AT1G06660.1,Q8RX34,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30820.2); Has 166 Blast hits to 144 proteins in 35 species: Archae - 0; Bacteria - 17; Metazoa - 13; Fungi - 20; Plants - 104; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).,1.317497384,0.00210372,481,53142.079639999996,5.197432324348326,-16.86386005197,0.8080637423285921,0.824750518479224,-0.6309771309771309,55.72806652806653
AT1G06670.1,Q9SMG9,nuclear DEIH-boxhelicase,1.123734013,0.105463577,1576,174509.84774,6.7672780966864465,-18.457640626328143,0.8422622084983071,0.7964041316662656,-0.5658629441624365,42.02043147208122
AT1G06690.1,Q94A68,NAD(P)-linked oxidoreductase superfamily protein,1.068493532,0.680426161,377,41497.06794,9.217487962104087,3.622927420706808,0.9010336806635535,0.7583736941197725,-0.2755968169761273,25.84933687002653
AT1G06700.1,Q8H1G6,Protein kinase superfamily protein,1.894522822,3.07984e-6,361,39819.63564,7.57963091128754,-1.7248050858385908,0.6283654743260993,0.7963890709144121,-0.325207756232687,35.94653739612188
AT1G06840.1,C0LGD7,Leucine-rich repeat protein kinase family protein,2.309589236,8.32368e-7,953,105624.70364,6.845710029470136,-10.292483134790018,0.8012637641943967,0.846442387774281,-0.1504721930745016,41.92298006295908
AT1G06890.2,Q8RXL8,nodulin MtN21 /EamA-like transporter family protein,0.89710065,0.178473363,357,39038.03564,9.043595705468759,5.615269688027945,0.5976741735538748,0.5124893375104206,0.5893557422969188,31.560504201680676
AT1G06950.1,Q8LPR9,translocon at the inner envelope membrane of chloroplasts 110,1.262385693,9.90631e-4,1016,112120.59064,5.7326659368986475,-16.684845106158782,0.8385101997473347,0.7784898797234909,-0.30088582677165354,42.1263779527559
AT1G07140.1,Q9LMK7,Pleckstrin homology (PH) domain superfamily protein,1.553670133,7.5611e-4,228,25601.34364,4.612193408381064,-19.14263456256786,0.7125264880476668,0.7440293207253679,-0.9846491228070176,35.79254385964912
AT1G07170.3,O80873,PHF5-like protein,1.559349175,4.48329e-4,110,12428.527540000001,8.484797530929324,3.1411004864797745,0.4970622963325655,0.5780877989249735,-0.4318181818181818,38.42818181818182
AT1G07180.1,Q8GWA1,alternative  NAD(P)H dehydrogenase 1,0.586020074,3.30604e-6,510,56628.09254,8.853882730204683,5.352065806781432,0.8379273584161804,0.7653846453486755,-0.14078431372549022,33.137058823529415
AT1G07210.1,Q9LML3,Ribosomal protein S18,0.882037593,0.282569173,261,29619.51224,5.094137937261798,-4.056526687404164,0.8770331323596637,0.663566008382049,-0.9659003831417624,32.63409961685824
AT1G07230.1,Q8L7Y9,non-specific phospholipase C1,0.66772286300000006,5.69709e-4,533,60048.18614,6.969035466595494,-4.798195859114527,0.865623153512031,0.7519902747845546,-0.39230769230769236,44.15722326454034
AT1G07360.1,Q9LNV5,CCCH-type zinc fingerfamily protein with RNA-binding domain,2.339625964,5.28141e-7,481,53587.95474,7.5082122349696645,-3.7782691853835058,0.6343260760590327,0.8216319785093105,-0.8185031185031185,63.92453222453223
AT1G07510.1,Q8VZI8,FTSH protease 10,0.557748827,2.04427e-6,813,89554.73084,8.651137240185447,2.785537158150051,0.7659009521471016,0.7778980909020118,-0.3974169741697417,35.92164821648217
AT1G07670.1,Q9XES1,endomembrane-type CA-ATPase 4,0.641087976,2.10429e-5,1061,116180.41514,4.840411307041361,-36.57010176201804,0.771905912522184,0.7038636791862218,0.02959472196041469,35.09745523091423
AT1G07750.1,Q9LQQ3,RmlC-like cupins superfamily protein,1.275608346,8.91302e-4,356,38310.82894,6.061499763109352,-5.183114652225308,0.700707387281928,0.7088099089627836,-0.011235955056179787,31.878089887640453
AT1G07770.2,P42798,ribosomal protein S15A,1.513451164,9.86507e-5,130,14804.35294,10.459251142017717,8.695096320466176,0.6446841017122895,0.6859446626099964,-0.16230769230769232,35.83461538461539
AT1G07810.1,P92939,ER-type Ca2+-ATPase 1,0.657086155,8.13137e-6,1061,116365.69634,4.738755802374061,-40.26839871983715,0.771905912522184,0.7038636791862218,0.057021677662582454,36.67257304429783
AT1G07820.2,P59259,Histone superfamily protein,1.351274873,0.010291798,103,11409.38464,12.005156542594102,17.97956137166427,0.810109847314154,0.5813206859523313,-0.5242718446601942,45.3504854368932
AT1G07830.1,Q94JQ7,ribosomal protein L29 family protein,0.793064808,0.006094839,144,16886.51254,10.725556861909066,7.684707613465799,0.7526179146714795,0.753964206661598,-0.6659722222222223,59.87152777777778
AT1G07960.1,Q8GYD1,PDI-like 5-1,0.700867729,1.74938e-4,146,16565.28364,4.694764543997554,-8.49436954018912,0.6434926193490493,0.5851902017590896,-0.12191780821917808,32.218493150684935
AT1G08030.1,Q3EDG5,tyrosylprotein sulfotransferase,0.77228902,0.068212304,500,56989.01884,10.102881687771399,18.340075488487944,0.8045360663410402,0.681778382802325,-0.27740000000000004,40.7456
AT1G08040.1,Q93ZR2,Protein of unknown function (DUF707),1.040661568,0.763761924,382,43869.05424,7.696714233001924,-1.3540437042999374,0.7143055877235943,0.6373734400832218,-0.48638743455497385,46.83141361256545
AT1G08170.1,Q9SGE3,Histone superfamily protein,0.751097659,0.037390419,243,27220.97244,8.891041373983349,1.65364389510888,0.8513602344403314,0.5870332266757272,-0.8201646090534979,48.37366255144033
AT1G08220.1,Q0WRX7,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: mitochondrial proton-transporting ATP synthase complex assembly; LOCATED IN: mitochondrial inner membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: ATPase assembly factor ATP10, mitochondria (InterPro:IPR007849); Has 168 Blast hits to 168 proteins in 86 species: Archae - 6; Bacteria - 0; Metazoa - 2; Fungi - 107; Plants - 30; Viruses - 0; Other Eukaryotes - 23 (source: NCBI BLink).",0.734653529,0.001517676,274,31057.79564,10.102214705463522,9.420987487209635,0.68080000935183,0.7589490238075498,-0.2671532846715329,45.39452554744525
AT1G08360.1,Q8VZB9,Ribosomal protein L1p/L10e family,0.96763711,0.518054965,216,24468.95914,10.615113199154592,18.096179666665094,0.7930874319134841,0.654876802463281,-0.41620370370370374,45.21527777777777
AT1G08470.1,Q8VWF6,strictosidine synthase-like 3,0.842474084,0.146454854,390,44036.55014,8.183486080100415,0.5020610588212575,0.5873023172515018,0.749286175163499,-0.23923076923076925,35.844358974358975
AT1G08480.1,Q941A6,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plasma membrane, plastid, vacuole; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; Has 39 Blast hits to 39 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",0.615666793,5.60138e-4,142,15812.68874,6.8055444755066805,-0.9941798554438536,0.7406243434160168,0.6852565141783677,-0.30492957746478877,29.438732394366202
AT1G08530.1,Q0WNC2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G09995.2); Has 140 Blast hits to 140 proteins in 53 species: Archae - 0; Bacteria - 63; Metazoa - 0; Fungi - 0; Plants - 76; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,0.808673464,0.130231262,257,27015.15054,8.073971380018238,0.12733716045486876,0.65951474430641,0.6531555814890421,0.18910505836575872,42.55642023346304
AT1G08640.1,Q93WG3,Chloroplast J-like domain 1,2.158354918,1.37004e-5,294,32902.17214,10.29529781830871,15.61089641028741,1.0572880512031728,0.806982443759328,-0.07278911564625852,44.986054421768706
AT1G08750.3,Q8GYI6,Peptidase C13 family,0.502554724,1.3063e-4,388,44542.65194,5.744389839591415,-13.40151274928534,0.6992201339339035,0.6505460724216795,-0.2703608247422681,34.81520618556701
AT1G08780.1,Q9M4B5,ABI3-interacting protein 3,1.251611343,0.041125655,129,14880.63444,4.241646902948513,-14.593122616009655,0.6903202283673138,0.6348616159111761,-0.7984496124031008,39.509302325581395
AT1G08820.2,B9DHD7,vamp/synaptobrevin-associated protein 27-2,1.085217244,0.136428393,386,43269.55954,7.007198182982687,-3.4507928683094855,0.7336068889233709,0.7467626257111106,-0.5126943005181347,41.3220207253886
AT1G09070.1,O04023,soybean gene regulated by cold-2,1.360905716,0.004592789,324,34189.33804,6.959187140249065,-2.6326574962062677,0.555401446444209,0.6992283970757858,-0.7037037037037037,36.99814814814815
AT1G09150.1,Q8L7N2,pseudouridine synthase and archaeosine transglycosylase (PUA) domain-containing protein,1.468254731,2.42158e-4,181,20457.02254,8.904601795634125,2.823354644288567,0.72172398186569,0.828842742625542,-0.12044198895027626,57.46132596685082
AT1G09160.2,O80492,Protein phosphatase 2C family protein,1.59993378,0.005291425,428,45780.18104,6.622311439033906,-5.9100203281706545,0.6730875957976532,0.6996042819081415,-0.14976635514018694,33.68504672897196
AT1G09210.1,Q38858,calreticulin 1b,0.488341391,4.47981e-6,424,48156.92454,4.126322873418272,-50.25388916871378,0.5914372951473077,0.6467296072185486,-0.9558962264150944,34.03466981132076
AT1G09330.1,Q8LEK2,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF846, eukaryotic (InterPro:IPR008564); Has 518 Blast hits to 518 proteins in 206 species: Archae - 0; Bacteria - 0; Metazoa - 193; Fungi - 145; Plants - 73; Viruses - 0; Other Eukaryotes - 107 (source: NCBI BLink).",1.382246916,4.54217e-4,186,21237.82814,9.202332298419192,3.08205673843203,0.6986304620115656,0.5768347438894509,0.47526881720430103,37.06182795698925
AT1G09580.1,Q6IDL4,emp24/gp25L/p24 family/GOLD family protein,0.799867823,0.019855796,217,24607.49754,6.677026168342241,-2.878810425677917,0.6153584791161767,0.7361128284991899,-0.07972350230414747,41.35622119815669
AT1G09590.1,Q43291,Translation protein SH3-like family protein,1.068925273,0.550423018,164,18652.73904,11.123180835565101,20.721656992729937,0.7080006058341308,0.8853751200565313,-0.6859756097560976,32.97256097560975
AT1G09620.1,O04485,ATP binding;leucine-tRNA ligases;aminoacyl-tRNA ligases;nucleotide binding;ATP binding;aminoacyl-tRNA ligases,1.333876475,0.011384641,1091,123451.22014,5.846938042752171,-21.95669835055914,0.8179018070449632,0.7650384572011276,-0.333730522456462,50.324656278643445
AT1G09630.1,O04486,RAB GTPase 11C,1.091017848,0.208222465,217,24108.18834,6.540792151400676,-1.9292014811327296,0.7982329712897696,0.7105032287725079,-0.3354838709677419,38.687557603686635
AT1G09740.1,Q84TF6,Adenine nucleotide alpha hydrolases-like superfamily protein,0.998363164,0.97979185,171,18149.74844,6.499581091050393,-4.419953255396642,0.7849973525945788,0.6980027794969267,0.09883040935672514,43.778362573099415
AT1G09760.1,P43333,U2 small nuclear ribonucleoprotein A,2.102801613,1.0444e-5,249,28041.40254,5.8558017860287785,-3.0205736574753663,0.6880526676283748,0.7770354636511629,-0.23895582329317272,32.083534136546184
AT1G09770.1,P92948,cell division cycle 5,1.912149707,4.92643e-6,844,95766.57554,6.730777029945685,-6.776927542774431,0.6999180827043356,0.915640598183015,-0.9408767772511849,55.99194312796208
AT1G09780.1,O04499,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",1.461963821,5.52344e-5,557,60579.56534,5.2048843419993,-21.073819585967517,0.6716307957039533,0.8013602900743766,-0.25601436265709154,29.09551166965889
AT1G09850.1,Q0WVJ5,xylem bark cysteine peptidase 3,1.024872872,0.600501776,437,48073.30334,6.4182678719000394,-12.727585809866085,0.598609957150525,0.6383858421638713,-0.3093821510297483,31.514187643020595
AT1G09870.1,Q941B2,histidine acid phosphatase family protein,0.622354906,9.08224e-6,487,54854.81074,8.059001027257535,-0.1866236977340311,0.6912395781201413,0.7822237704533941,-0.38788501026694044,41.49383983572895
AT1G09960.1,Q9FE59,sucrose transporter 4,0.962614523,0.601333806,510,54784.08614,9.459106707429141,8.672502819112001,0.6255537738807065,0.7214612580171388,0.5327450980392157,34.30313725490196
AT1G10130.1,Q9SY55,endoplasmic reticulum-type calcium-transporting ATPase 3,0.684811295,8.72466e-5,998,109060.49484,5.9911598442825245,-20.414652696147964,0.7987486317844403,1.079696698638202,0.22845691382765532,35.76292585170341
AT1G10200.1,Q94JX5,GATA type zinc finger transcription factor family protein,1.354017286,1.65725e-4,190,21040.12674,9.035001009256973,7.532503555423373,0.5569530606630416,0.6922589707251278,-0.5652631578947369,27.375263157894736
AT1G10270.1,Q9SY69,glutamine-rich protein 23,0.864322863,0.002725661,913,102093.31604,7.667767631522811,-2.4846530137239355,0.8880651260533384,0.7580582140953144,-0.7807228915662652,50.99704271631982
AT1G10390.1,Q8RY25,Nucleoporin autopeptidase,1.099749384,0.245248211,1041,106307.84934,9.221918337726253,4.412530862442683,0.688520120573748,0.8904538233156386,-0.4522574447646494,51.09798270893372
AT1G10510.1,Q93ZV8,RNI-like superfamily protein,1.148241225,0.011823665,605,64722.29884,7.677126633458972,-1.135874773626085,0.751400878306072,0.6949457737552153,-0.13421487603305787,34.26578512396694
AT1G10580.1,A4FVN8,Transducin/WD40 repeat-like superfamily protein,1.735560172,8.04785e-5,573,65128.10874,7.078143265039926,-7.117562290149588,0.5923596989604863,0.6513301057830082,-0.7787085514834206,47.909598603839434
AT1G10660.1,Q8H101,unknown protein; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G62960.1); Has 155 Blast hits to 154 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 4; Plants - 139; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,1.341433179,0.104040662,320,36762.00114,8.951157140178866,5.5924676661428405,0.5913664336050314,0.6580043697961516,0.38937499999999997,38.523125
AT1G10830.1,Q9SAC0,15-cis-zeta-carotene isomerase,1.306728177,0.001455626,367,40850.75164,9.763984217538155,5.810991246459878,0.7819349832005821,0.6685755605156919,0.34250681198910077,43.89863760217984
AT1G10840.1,Q9C5Z2,translation initiation factor 3 subunit H1,1.563895838,2.42158e-4,337,38372.62754,4.547633433250692,-16.106684330473755,0.693231080290831,0.6103280295495505,-0.3356083086053413,43.889910979228496
