uniprot,Protein.Acc,Protein.Descriptions,up/low,P value.(up/low)
Q9ZSD4,AT3G11820.1,syntaxin of plants 121,2.777030434,9.13573E-06
Q9FNQ2,AT5G61130.1,plasmodesmata callose-binding protein 1,2.776349514,3.64988E-05
Q9ASS4,AT5G48380.1,BAK1-interacting receptor-like kinase 1,2.759757719,1.36334E-06
Q9SVC2,AT3G52400.1,syntaxin of plants 122,2.731830218,5.60215E-06
Q6NKW9,AT1G64760.1,O-Glycosyl hydrolases family 17 protein,2.717208787,3.85693E-07
Q9FHN6,AT5G51480.1,SKU5  similar 2,2.705122465,7.08087E-08
Q93Z08,AT5G58090.1,O-Glycosyl hydrolases family 17 protein,2.695458362,3.6327E-07
Q9FKV9,AT5G44290.2,Protein kinase superfamily protein,2.688784024,1.16303E-06
Q9M088,AT4G31140.1,O-Glycosyl hydrolases family 17 protein,2.679068024,4.81706E-07
Q9LV68,AT5G48450.1,SKU5  similar 3,2.673344368,1.17387E-06
P20649,AT2G18960.1,H(+)-ATPase 1,2.663639249,7.59599E-07
Q9FJU9,AT5G56590.1,O-Glycosyl hydrolases family 17 protein,2.661952753,1.69325E-07
Q9SR93,AT3G08930.1,LMBR1-like membrane protein,2.654480625,0.000321009
Q9ZQ71,AT2G03350.1,"Protein of unknown function, DUF538",2.650177605,1.68495E-05
O04567,AT1G27190.1,Leucine-rich repeat protein kinase family protein,2.63726687,2.14237E-05
Q9SZR1,AT4G29900.1,autoinhibited Ca(2+)-ATPase 10,2.629586598,3.21256E-07
O65399,AT1G11820.2,O-Glycosyl hydrolases family 17 protein,2.6257278,8.02401E-07
Q9LSQ5,AT5G54500.1,flavodoxin-like quinone reductase 1,2.6196136,4.18023E-06
Q9STT2,AT3G47810.2,Calcineurin-like metallo-phosphoesterase superfamily protein,2.618498942,4.84056E-07
O22100,AT3G63260.1,Protein kinase superfamily protein,2.616503369,1.01222E-06
Q9LK35,AT5G54380.1,protein kinase family protein,2.608311282,1.23313E-06
Q9SU13,AT4G12730.1,FASCICLIN-like arabinogalactan 2,2.608301499,3.52851E-06
Q3E7D0,AT2G27810.1,nucleobase-ascorbate transporter 12,2.5817026,4.41765E-06
Q6NLQ6,AT3G57530.1,calcium-dependent protein kinase 32,2.581359483,3.6327E-07
Q9SCZ4,AT3G51550.1,Malectin/receptor-like protein kinase family protein,2.577189621,3.6822E-06
Q9FNH6,AT5G06320.1,NDR1/HIN1-like 3,2.573873881,9.64726E-07
Q0WQK2,AT3G26935.1,DHHC-type zinc finger family protein,2.570033903,5.31674E-06
Q9SRH6,AT3G01290.1,SPFH/Band 7/PHB domain-containing membrane-associated protein family,2.5697122,1.04008E-05
Q9FMH3,AT5G43100.1,Eukaryotic aspartyl protease family protein,2.568629053,8.17833E-07
Q94CD8,AT3G13560.3,O-Glycosyl hydrolases family 17 protein,2.55588149,8.95413E-07
Q8VYV9,AT2G17760.1,Eukaryotic aspartyl protease family protein,2.555545567,1.69491E-05
O22248,AT2G47630.1,alpha/beta-Hydrolases superfamily protein,2.551542377,7.07969E-07
Q8VXX5,AT4G25240.1,SKU5 similar 1,2.548344777,1.01072E-07
Q9ZUL7,AT2G02130.1,low-molecular-weight cysteine-rich 68,2.546857404,0.000159228
O80837,AT2G45820.1,Remorin family protein,2.543083203,8.7839E-06
Q6RF46,AT2G17705.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: cultured cell; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G08330.1); Has 135 Blast hits to 135 proteins in 32 species: Archae - 5; Bacteria - 29; Metazoa - 0; Fungi - 0; Plants - 91; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).,2.542449656,2.09679E-05
Q8L868,AT1G32860.1,Glycosyl hydrolase superfamily protein,2.539237277,3.57368E-07
Q8GYG8,AT1G02180.1,ferredoxin-related,2.535343347,5.8937E-07
Q9FMD7,AT5G16590.1,Leucine-rich repeat protein kinase family protein,2.532505069,1.84673E-06
Q9SF29,AT3G09740.1,syntaxin of plants 71,2.531502705,6.65465E-07
Q9M2D8,AT3G61260.1,Remorin family protein,2.501013264,3.19295E-06
Q9FN39,AT5G53870.1,early nodulin-like protein 1,2.494662911,1.21236E-05
O22757,AT2G17480.1,Seven transmembrane MLO family protein,2.492703334,4.76325E-06
Q9M324,AT3G54030.1,Protein kinase protein with tetratricopeptide repeat domain,2.48013948,1.01841E-06
Q6NQE2,AT4G27270.1,Quinone reductase family protein,2.463759358,2.27066E-06
Q8L4F3,AT4G36440.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 41 Blast hits to 41 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,2.461899534,9.69291E-05
Q8S8Q6,AT2G23810.1,tetraspanin8,2.456087284,1.7838E-05
Q8VZG1,AT2G18730.1,diacylglycerol kinase 3,2.455744175,1.27623E-06
Q8GXV7,AT5G43980.1,plasmodesmata-located protein 1,2.454320028,7.43623E-07
Q9LYI4,AT5G11890.1,FUNCTIONS IN: molecular_function unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 6 growth stages; BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (TAIR:AT1G17620.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,2.443421749,3.19295E-06
Q9C6X2,AT1G32050.1,SCAMP family protein,2.431041141,4.11942E-06
O22826,AT2G43770.1,Transducin/WD40 repeat-like superfamily protein,2.425898152,1.10209E-05
Q9FK10,AT5G53320.1,Leucine-rich repeat protein kinase family protein,2.419222398,4.92643E-06
Q07488,AT5G20230.1,blue-copper-binding protein,2.417897681,7.43623E-07
Q06BH3,AT2G20850.1,STRUBBELIG-receptor family 1,2.417463111,2.06945E-06
Q9CAL3,AT1G70520.1,cysteine-rich RLK (RECEPTOR-like protein kinase) 2,2.394646423,7.43623E-07
P93026,AT3G52850.1,vacuolar sorting receptor homolog 1,2.389085289,6.93592E-06
Q93XX5,AT5G67130.1,PLC-like phosphodiesterases superfamily protein,2.386608592,7.43656E-07
Q9M390,AT3G54140.1,peptide transporter 1,2.384498677,1.18816E-05
Q8LDB7,AT1G52540.1,Protein kinase superfamily protein,2.378150213,9.14217E-07
Q38868,AT3G20410.1,calmodulin-domain protein kinase 9,2.362374527,7.43656E-07
Q8VYM8,AT5G46700.1,Tetraspanin family protein,2.354896632,2.5338E-07
Q9LFR9,AT5G16060.1,Cytochrome c oxidase biogenesis protein Cmc1-like,2.354095558,0.000284244
Q38872,AT2G17290.1,Calcium-dependent protein kinase family protein,2.352024603,5.14653E-05
Q9SGN1,AT1G28340.1,receptor like protein 4,2.350382505,1.10209E-05
Q8RWI2,AT5G07910.1,Leucine-rich repeat (LRR) family protein,2.347649238,3.6327E-07
Q9LNV5,AT1G07360.1,CCCH-type zinc fingerfamily protein with RNA-binding domain,2.339625964,5.28141E-07
Q9S9Z7,AT1G34750.1,Protein phosphatase 2C family protein,2.331583304,5.77521E-08
F4I3M3,AT1G63500.1,Protein kinase protein with tetratricopeptide repeat domain,2.331237554,5.3459E-07
Q8GTX9,AT5G41770.1,"crooked neck protein, putative / cell cycle protein, putative",2.328358026,0.000102259
Q94EH2,AT4G26670.1,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein,2.326675425,2.20823E-05
O80910,AT2G38410.1,ENTH/VHS/GAT family protein,2.325320516,0.000258774
Q56YN8,AT2G27170.2,Structural maintenance of chromosomes (SMC) family protein,2.321439147,5.31885E-05
Q94AZ2,AT5G26340.1,Major facilitator superfamily protein,2.313433861,5.49632E-06
Q9M386,AT3G54200.1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,2.311423581,4.75048E-06
C0LGD7,AT1G06840.1,Leucine-rich repeat protein kinase family protein,2.309589236,8.32368E-07
Q9M8L8,AT1G80500.1,SNARE-like superfamily protein,2.306645959,1.77619E-05
C0LGT1,AT5G10290.1,leucine-rich repeat transmembrane protein kinase family protein,2.305680369,1.42805E-06
Q9SJ81,AT2G04780.2,FASCICLIN-like arabinoogalactan 7,2.301580181,2.15083E-06
Q56WK6,AT1G72150.1,PATELLIN 1,2.298445001,1.36607E-05
Q9M8T0,AT3G02880.1,Leucine-rich repeat protein kinase family protein,2.29246008,4.42644E-06
Q9FJ87,AT5G52050.1,MATE efflux family protein,2.285300228,0.000198123
Q0WNW0,AT5G04885.1,Glycosyl hydrolase family protein,2.284954647,3.21256E-07
Q949S9,AT3G18165.1,"modifier of snc1,4",2.284247805,1.35197E-05
Q42479,AT4G23650.1,calcium-dependent protein kinase 6,2.278175328,2.13346E-05
Q9LV36,AT3G18050.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G28100.1); Has 67 Blast hits to 66 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,2.275245728,4.8624E-07
Q9LS97,AT3G18790.1,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Isy1-like splicing (InterPro:IPR009360); Has 1147 Blast hits to 965 proteins in 236 species: Archae - 12; Bacteria - 13; Metazoa - 351; Fungi - 230; Plants - 49; Viruses - 9; Other Eukaryotes - 483 (source: NCBI BLink).,2.272308509,4.82336E-05
O80725,AT2G47000.1,ATP binding cassette subfamily B4,2.26150625,4.03787E-06
Q9LQU4,AT1G14870.1,PLANT CADMIUM RESISTANCE 2,2.259878565,5.69683E-06
Q67YI9,AT2G43160.1,ENTH/VHS family protein,2.258332566,0.00046075
Q9MAB2,AT3G05070.1,"CONTAINS InterPro DOMAIN/s: mRNA splicing factor, Cwf18 (InterPro:IPR013169); Has 292 Blast hits to 292 proteins in 153 species: Archae - 0; Bacteria - 0; Metazoa - 118; Fungi - 83; Plants - 38; Viruses - 11; Other Eukaryotes - 42 (source: NCBI BLink).",2.256378524,5.00327E-05
Q9LF61,AT5G17630.1,Nucleotide/sugar transporter family protein,2.252247041,3.46085E-05
O23207,AT4G36750.1,Quinone reductase family protein,2.251927188,3.31578E-06
Q9FLW0,AT5G24010.1,Protein kinase superfamily protein,2.250652667,1.2364E-06
Q9LF60,AT5G17640.1,Protein of unknown function (DUF1005),2.239322337,5.28141E-07
Q944A7,AT4G35230.1,BR-signaling kinase 1,2.237431964,7.43656E-07
Q9CAW4,AT3G05000.1,Transport protein particle (TRAPP) component,2.229645768,1.86078E-05
Q9FHX6,AT5G42090.1,Lung seven transmembrane receptor family protein,2.228834504,2.63205E-05
Q1ECE0,AT5G54110.1,membrane-associated mannitol-induced,2.224900585,2.5338E-07
Q9XGU0,AT2G44690.1,Arabidopsis RAC-like 9,2.220807191,1.35186E-06
O22922,AT2G30260.1,U2 small nuclear ribonucleoprotein B,2.216803429,0.000403347
Q94C59,AT1G30690.2,Sec14p-like phosphatidylinositol transfer family protein,2.215501138,5.38593E-05
Q9M8R6,AT3G02740.1,Eukaryotic aspartyl protease family protein,2.206661586,5.77521E-08
Q94A32,AT3G43520.1,Transmembrane proteins 14C,2.204527513,0.000154153
Q9LK43,AT3G23750.1,Leucine-rich repeat protein kinase family protein,2.199046536,7.07969E-07
Q94AZ4,AT1G12310.1,Calcium-binding EF-hand family protein,2.196996186,0.000139362
O48582,AT5G44780.1,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G20020.2); Has 9661 Blast hits to 6233 proteins in 635 species: Archae - 4; Bacteria - 1116; Metazoa - 4251; Fungi - 1510; Plants - 1359; Viruses - 43; Other Eukaryotes - 1378 (source: NCBI BLink).,2.189151535,0.000168598
Q8H0U2,AT2G12400.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G25270.1); Has 177 Blast hits to 172 proteins in 23 species: Archae - 0; Bacteria - 2; Metazoa - 3; Fungi - 0; Plants - 164; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).,2.179303068,3.07984E-06
O82302,AT2G35350.1,poltergeist like 1,2.17243599,4.84056E-07
Q9FJX6,AT5G67470.1,formin homolog 6,2.170634778,9.15282E-06
O82263,AT2G47960.1,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF974 (InterPro:IPR010378); Has 285 Blast hits to 284 proteins in 126 species: Archae - 0; Bacteria - 0; Metazoa - 150; Fungi - 68; Plants - 32; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).,2.170204588,8.06367E-06
Q9LYB4,AT3G63080.1,glutathione peroxidase 5,2.166326598,1.93794E-06
Q93V66,AT3G57280.1,Transmembrane proteins 14C,2.164016301,1.97169E-06
Q93WG3,AT1G08640.1,Chloroplast J-like domain 1,2.158354918,1.37004E-05
Q9SL25,AT2G09840.1,BEST Arabidopsis thaliana protein match is: nucleic acid binding;zinc ion binding (TAIR:AT2G06904.1); Has 10 Blast hits to 10 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 10; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,2.136305081,3.22421E-05
Q84K91,AT2G04410.1,RPM1-interacting protein 4 (RIN4) family protein,2.13452567,2.09589E-05
Q8W4A0,AT3G02200.2,Proteasome component (PCI) domain protein,2.129552653,0.000564181
Q9LSI9,AT3G28450.1,Leucine-rich repeat protein kinase family protein,2.127310248,5.8937E-07
Q9FXI5,AT1G19870.1,IQ-domain 32,2.125614906,7.43623E-07
Q8VZK2,AT5G11900.1,Translation initiation factor SUI1 family protein,2.125154747,1.56563E-05
Q9XID3,AT1G34300.1,lectin protein kinase family protein,2.116083504,4.85354E-07
P18064,AT2G26300.1,G protein alpha subunit 1,2.112757658,1.27174E-06
Q9M3B9,AT3G55320.1,P-glycoprotein  20,2.111849241,0.00032067
Q8GYD0,AT1G61670.1,Lung seven transmembrane receptor family protein,2.111787194,2.56899E-05
Q9ZVX7,AT2G16860.1,GCIP-interacting family protein,2.111457671,1.66613E-06
Q9M267,AT3G61980.1,"serine protease inhibitor, Kazal-type family protein",2.108702465,0.000616374
Q43867,AT1G53840.1,pectin methylesterase 1,2.107402628,1.56563E-05
Q9ZR72,AT2G36910.1,ATP binding cassette subfamily B1,2.10709116,2.13519E-06
P43333,AT1G09760.1,U2 small nuclear ribonucleoprotein A,2.102801613,1.0444E-05
Q9SE97,AT3G25500.1,formin homology 1,2.101895893,8.42036E-07
Q9LX66,AT3G46290.1,hercules receptor kinase 1,2.101456686,9.14217E-07
Q8LCP6,AT1G75680.1,glycosyl hydrolase 9B7,2.101039598,8.14035E-05
Q8W4I7,AT3G51850.1,calcium-dependent protein kinase 13,2.09979392,6.61509E-07
P59833,AT5G19250.1,Glycoprotein membrane precursor GPI-anchored,2.095665092,9.96223E-05
Q9FKW5,AT5G66200.1,armadillo repeat only 2,2.084693324,3.5393E-05
Q8VZI2,AT4G33700.1,CBS domain-containing protein with a domain of unknown function (DUF21),2.082554406,0.000115051
Q9LV48,AT3G24550.1,proline extensin-like receptor kinase 1,2.078386383,3.2642E-06
C0LGN2,AT3G14840.2,Leucine-rich repeat transmembrane protein kinase,2.076973225,6.32325E-06
Q8GW09,AT3G26700.1,Protein kinase superfamily protein,2.074762985,6.66981E-06
Q9CAR7,AT1G69840.7,SPFH/Band 7/PHB domain-containing membrane-associated protein family,2.068149444,1.19096E-06
O82659,AT3G50360.1,centrin2,2.051982502,8.52552E-05
Q6NKU9,AT5G55510.1,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein,2.049901512,3.2177E-05
Q9SK27,AT2G25060.1,early nodulin-like protein 14,2.048173285,9.47214E-06
Q9C504,AT1G31760.1,SWIB/MDM2 domain superfamily protein,2.045594759,6.35552E-05
Q8W4L3,AT4G00710.1,BR-signaling kinase 3,2.041134786,4.81706E-07
Q84WR8,AT4G39820.1,Tetratricopeptide repeat (TPR)-like superfamily protein,2.041130972,1.69325E-07
Q9LRP3,AT3G17420.1,glyoxysomal protein kinase 1,2.034052352,2.5338E-07
Q9SYB8,AT1G51160.1,SNARE-like superfamily protein,2.029360716,4.42644E-06
Q9SL05,AT2G05620.1,proton gradient regulation 5,2.025232158,8.3788E-05
Q96303,AT2G38940.1,phosphate transporter 1;4,2.022831532,3.24288E-05
Q3E9E7,AT5G18610.1,Protein kinase superfamily protein,2.022695773,4.08497E-07
Q8RXF1,AT1G14650.1,SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / ubiquitin family protein,2.022372986,2.38813E-05
Q94JQ6,AT5G64740.1,cellulose synthase 6,2.017751265,5.31165E-05
O22938,AT2G41820.1,Leucine-rich repeat protein kinase family protein,2.015239807,4.89637E-07
Q9LYS5,AT3G59110.1,Protein kinase superfamily protein,2.013874819,3.52587E-06
O23049,AT1G05190.1,Ribosomal protein L6 family,2.009081584,6.09972E-07
P33543,AT3G24660.1,transmembrane kinase-like 1,2.00785855,5.28141E-07
Q9C6P3,AT1G50700.1,calcium-dependent protein kinase 33,1.996031547,5.75804E-07
Q9FJD0,AT5G53530.1,vacuolar protein sorting 26A,1.99453173,9.14217E-07
Q9SEL5,AT1G26670.1,Vesicle transport v-SNARE family protein,1.9931457,9.60758E-05
Q9S9K4,AT1G65240.1,Eukaryotic aspartyl protease family protein,1.992932965,4.84056E-07
Q9C8G5,AT1G30360.1,Early-responsive to dehydration stress protein (ERD4),1.992042164,2.68877E-06
Q9M371,AT3G61670.1,Protein of unknown function (DUF3133),1.987399659,1.70453E-05
C0LGM1,AT2G37050.3,Leucine-rich repeat protein kinase family protein,1.983036563,1.21912E-05
Q9LNC5,AT1G06220.2,Ribosomal protein S5/Elongation factor G/III/V family protein,1.981706201,1.28854E-05
Q9FFW5,AT5G38560.1,Protein kinase superfamily protein,1.979544095,0.000255982
Q8S8F8,AT2G22475.1,GRAM domain family protein,1.979211247,0.000338278
Q9SSL9,AT1G73080.1,PEP1 receptor 1,1.977166424,4.81706E-07
Q9SXA1,AT1G49340.2,Phosphatidylinositol 3- and 4-kinase family protein,1.975577028,4.11942E-06
P56820,AT4G20980.2,Eukaryotic translation initiation factor 3 subunit 7 (eIF-3),1.974449473,3.64988E-05
Q9ZVD2,AT2G27080.2,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,1.969457606,0.00029884
Q9FHD7,AT5G41260.1,Protein kinase protein with tetratricopeptide repeat domain,1.967505084,4.33236E-06
Q9M0M4,AT4G17270.1,Mo25 family protein,1.963647135,0.000316948
Q9LY73,AT3G63420.1,Ggamma-subunit 1,1.963316721,1.5352E-05
Q5PNY9,AT1G48460.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast envelope; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G63040.1); Has 60 Blast hits to 60 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 60; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1.963247917,0.000161706
Q9T038,AT4G39320.1,microtubule-associated protein-related,1.957093385,2.31665E-05
Q8GUM1,AT5G25780.1,eukaryotic translation initiation factor 3B-2,1.953026327,0.000210853
Q9ASZ4,AT3G17900.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 45 Blast hits to 44 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 2; Plants - 39; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,1.949698656,1.68107E-05
Q3ECW7,AT1G45207.2,Remorin family protein,1.94638517,7.10115E-05
Q9SIT1,AT2G01820.1,Leucine-rich repeat protein kinase family protein,1.943442273,1.03465E-06
Q9LIB6,AT3G16860.1,COBRA-like protein 8 precursor,1.939478408,2.82648E-05
Q84W64,AT3G20520.1,SHV3-like 3,1.93656656,2.51497E-05
Q8L7Q7,AT5G64640.1,Plant invertase/pectin methylesterase inhibitor superfamily,1.934874738,0.000433634
Q9SAD7,AT1G13020.1,eukaryotic initiation factor 4B2,1.932984958,0.014613632
Q9LUT0,AT3G17410.1,Protein kinase superfamily protein,1.932792912,4.20863E-06
Q9SY88,AT1G61620.1,phosphoinositide binding,1.931253665,2.27066E-06
O48788,AT2G26730.1,Leucine-rich repeat protein kinase family protein,1.923179241,5.35934E-06
Q9ZT82,AT4G03550.1,glucan synthase-like 5,1.921458893,1.34824E-05
Q8RXZ8,AT3G09980.1,Family of unknown function (DUF662),1.917577557,0.000113917
Q9LZB8,AT5G03910.1,ABC2 homolog 12,1.917228559,0.001599835
P92948,AT1G09770.1,cell division cycle 5,1.912149707,4.92643E-06
Q42438,AT5G19450.2,calcium-dependent protein kinase 19,1.909957428,3.37903E-06
Q9FFU6,AT5G54830.1,DOMON domain-containing protein / dopamine beta-monooxygenase N-terminal domain-containing protein,1.908547649,9.88268E-06
Q0WPE9,AT1G60030.1,nucleobase-ascorbate transporter 7,1.904323364,0.00123389
