"","uniprot","Protein.Acc","Protein.Descriptions","up.low","P.value..up.low.","iso_id","uniprot_seq_length","uniprot_seq_md5","coordinate_id","provider","from","to","template","qmean","qmean_norm","seqid","url"
"28","A9X4U2","AT2G43420.1","3-beta hydroxysteroid dehydrogenase/isomerase family protein","0.632120036","0.006559212","561","2b8da375a0cc87ef1f3e49989e875b72","5effd72a9531ecaa18e75267","SWISSMODEL","13","358","1g1a.1.A","-4.8673903611","0.5932776935","21.6560516357","https://swissmodel.expasy.org/repository/uniprot/A9X4U2.pdb?provider=swissmodel&from=13&to=358&template=1g1a.1.A&provider=swissmodel","A9X4U2"
"29","B3H5B3","AT2G26890.1","DNAJ heat shock N-terminal domain-containing protein","1.173767646","0.036739167","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","B3LF44","AT2G31060.1","elongation factor family protein","1.272493654","0.048413837","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31","B3LFA4","AT5G38830.1","Cysteinyl-tRNA synthetase, class Ia family protein","1.100702168","0.110955317","511","8e22b44d3f5fe08213ba0bb2415db05c","5e73cc161a200beee4ddcc61","SWISSMODEL","6","491","3sp1.1.A","-4.8607792092","0.618160681","31.1015110016","https://swissmodel.expasy.org/repository/uniprot/B3LFA4.pdb?provider=swissmodel&from=6&to=491&template=3sp1.1.A&provider=swissmodel","B3LFA4"
"32","B3TIK7","AT1G72440.1","CCAAT-binding factor","0.766808158","0.008378948","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33","B5X582","AT1G30680.1","toprim domain-containing protein","0.815563283","0.003936346","709","317a3e803ee75d613111a412fe990f3a","5f00d6547193ba1929b90d2b","SWISSMODEL","384","694","2q6t.4.A","-4.2286130587","0.6201698147","18.3946495056","https://swissmodel.expasy.org/repository/uniprot/B5X582.pdb?provider=swissmodel&from=384&to=694&template=2q6t.4.A&provider=swissmodel","B5X582"
"34","B5X582","AT1G30680.1","toprim domain-containing protein","0.815563283","0.003936346","709","317a3e803ee75d613111a412fe990f3a","5f00d6547193ba1929b90d2f","SWISSMODEL","384","694","2q6t.2.A","-3.4630335534","0.6484435615","18.3946495056","https://swissmodel.expasy.org/repository/uniprot/B5X582.pdb?provider=swissmodel&from=384&to=694&template=2q6t.2.A&provider=swissmodel","B5X582"
"35","B5X582","AT1G30680.1","toprim domain-containing protein","0.815563283","0.003936346","709","317a3e803ee75d613111a412fe990f3a","5f00d6557193ba1929b90d33","SWISSMODEL","383","693","2vye.1.E","-4.5899317642","0.6029852548","17.2757472992","https://swissmodel.expasy.org/repository/uniprot/B5X582.pdb?provider=swissmodel&from=383&to=693&template=2vye.1.E&provider=swissmodel","B5X582"
"36","B5X582","AT1G30680.1","toprim domain-containing protein","0.815563283","0.003936346","709","317a3e803ee75d613111a412fe990f3a","5f00d6547193ba1929b90d26","SWISSMODEL","383","694","2r6d.1.A","-4.7114598177","0.5987333013","17.2638435364","https://swissmodel.expasy.org/repository/uniprot/B5X582.pdb?provider=swissmodel&from=383&to=694&template=2r6d.1.A&provider=swissmodel","B5X582"
"37","B5X582","AT1G30680.1","toprim domain-containing protein","0.815563283","0.003936346","709","317a3e803ee75d613111a412fe990f3a","5f00d6537193ba1929b90d1c","SWISSMODEL","383","695","4nmn.1.E","-3.9785246915","0.6243768126","17.4496650696","https://swissmodel.expasy.org/repository/uniprot/B5X582.pdb?provider=swissmodel&from=383&to=695&template=4nmn.1.E&provider=swissmodel","B5X582"
"38","B7ZWR6","AT5G21990.1","Tetratricopeptide repeat (TPR)-like superfamily protein","0.655736869","2.45808e-05","554","483290f5c8fc795bd13c43ce1d136ead","5effcb511bd95b2d9980f22c","SWISSMODEL","54","297","6tm5.1.S","-4.6671589609","0.5844150252","13.3047208786","https://swissmodel.expasy.org/repository/uniprot/B7ZWR6.pdb?provider=swissmodel&from=54&to=297&template=6tm5.1.S&provider=swissmodel","B7ZWR6"
"39","B7ZWR6","AT5G21990.1","Tetratricopeptide repeat (TPR)-like superfamily protein","0.655736869","2.45808e-05","554","483290f5c8fc795bd13c43ce1d136ead","5effcb511bd95b2d9980f228","SWISSMODEL","54","299","6tlj.1.C","-3.3640600371","0.6370101987","16.455696106","https://swissmodel.expasy.org/repository/uniprot/B7ZWR6.pdb?provider=swissmodel&from=54&to=299&template=6tlj.1.C&provider=swissmodel","B7ZWR6"
"40","B7ZWR6","AT5G21990.1","Tetratricopeptide repeat (TPR)-like superfamily protein","0.655736869","2.45808e-05","554","483290f5c8fc795bd13c43ce1d136ead","5effcb511bd95b2d9980f230","SWISSMODEL","54","322","6qx9.31.A","-4.8023955146","0.5774544314","9.7276268005","https://swissmodel.expasy.org/repository/uniprot/B7ZWR6.pdb?provider=swissmodel&from=54&to=322&template=6qx9.31.A&provider=swissmodel","B7ZWR6"
"41","B7ZWR6","AT5G21990.1","Tetratricopeptide repeat (TPR)-like superfamily protein","0.655736869","2.45808e-05","554","483290f5c8fc795bd13c43ce1d136ead","5effcb511bd95b2d9980f234","SWISSMODEL","55","300","2xpi.1.A","-3.7935611743","0.6190654016","11.8852462769","https://swissmodel.expasy.org/repository/uniprot/B7ZWR6.pdb?provider=swissmodel&from=55&to=300&template=2xpi.1.A&provider=swissmodel","B7ZWR6"
"42","B8XCH5","AT1G74720.1","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein","0.528361044","0.001762131","1081","b2279c1616ec99096ac846e36c4b4c68","5f01eb59c55610050aabee8e","SWISSMODEL","15","147","6nyt.1.A","-1.9198027832","0.6794219091","31.0077514648","https://swissmodel.expasy.org/repository/uniprot/B8XCH5.pdb?provider=swissmodel&from=15&to=147&template=6nyt.1.A&provider=swissmodel","B8XCH5"
"43","B8XCH5","AT1G74720.1","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein","0.528361044","0.001762131","1081","b2279c1616ec99096ac846e36c4b4c68","5f01eb59c55610050aabee92","SWISSMODEL","493","779","5kj8.1.E","-4.2776741543","0.6016832931","20.2643165588","https://swissmodel.expasy.org/repository/uniprot/B8XCH5.pdb?provider=swissmodel&from=493&to=779&template=5kj8.1.E&provider=swissmodel","B8XCH5"
"44","B9DFI7","AT1G26850.2","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","1.08689508","0.202829869","B9DFI7-1","616","d1ee423870a7a54e38be4b452be56fd3","5f0048ff1dd32b2565143b99","SWISSMODEL","147","309","6qmm.1.B","-4.5271734194","0.5737942841","15.4838705063","https://swissmodel.expasy.org/repository/uniprot/B9DFI7.pdb?provider=swissmodel&from=147&to=309&template=6qmm.1.B&provider=swissmodel"
"45","B9DFK5","AT2G37860.3","Protein of unknown function (DUF3411)","1.0376871","0.464009599","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46","B9DFS6","AT5G07120.1","sorting nexin 2B","1.58649028","0.00013069","572","2d0722aae1bbae12dd20027d63c250bc","5effe6d116473674724c22dd","SWISSMODEL","311","469","5tby.1.A","-4.9077097906","0.5472777397","12.053571701","https://swissmodel.expasy.org/repository/uniprot/B9DFS6.pdb?provider=swissmodel&from=311&to=469&template=5tby.1.A&provider=swissmodel","B9DFS6"
"47","B9DFS6","AT5G07120.1","sorting nexin 2B","1.58649028","0.00013069","572","2d0722aae1bbae12dd20027d63c250bc","5effe6d116473674724c22d9","SWISSMODEL","311","469","5tby.1.B","-4.9538334456","0.545086567","12.053571701","https://swissmodel.expasy.org/repository/uniprot/B9DFS6.pdb?provider=swissmodel&from=311&to=469&template=5tby.1.B&provider=swissmodel","B9DFS6"
"48","B9DFS6","AT5G07120.1","sorting nexin 2B","1.58649028","0.00013069","572","2d0722aae1bbae12dd20027d63c250bc","5effe6d116473674724c22e1","SWISSMODEL","140","562","6q0x.1.A","-4.1864927788","0.6171005452","14.7453079224","https://swissmodel.expasy.org/repository/uniprot/B9DFS6.pdb?provider=swissmodel&from=140&to=562&template=6q0x.1.A&provider=swissmodel","B9DFS6"
"49","B9DFX0","AT4G10000.2","Thioredoxin family protein","1.238475794","0.016605731","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"50","B9DGU1","AT1G14710.2","hydroxyproline-rich glycoprotein family protein","1.461390814","0.000214889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"51","B9DHD7","AT1G08820.2","vamp/synaptobrevin-associated protein 27-2","1.085217244","0.136428393","386","6bfbb2069d508bd31dc2937fa002e8e9","5efdb2baa4b3ac39d43bc06c","SWISSMODEL","4","128","2rr3.1.A","-1.6315629981","0.6966428895","32.2314033508","https://swissmodel.expasy.org/repository/uniprot/B9DHD7.pdb?provider=swissmodel&from=4&to=128&template=2rr3.1.A&provider=swissmodel","B9DHD7"
"52","C0LGD7","AT1G06840.1","Leucine-rich repeat protein kinase family protein","2.309589236","8.32368e-07","C0LGD7-1","953","5ea0d0cdb7a3f3625a587433b381fcc3","5f0194461890ee9af9acedea","SWISSMODEL","37","401","4mna.1.A","-2.4350943963","0.686787948","37.5722541809","https://swissmodel.expasy.org/repository/uniprot/C0LGD7.pdb?provider=swissmodel&from=37&to=401&template=4mna.1.A&provider=swissmodel"
"53","C0LGD7","AT1G06840.1","Leucine-rich repeat protein kinase family protein","2.309589236","8.32368e-07","C0LGD7-1","953","5ea0d0cdb7a3f3625a587433b381fcc3","5f0194461890ee9af9acedf2","SWISSMODEL","33","390","4hq1.1.A","-3.633967413","0.6466553393","33.4319534302","https://swissmodel.expasy.org/repository/uniprot/C0LGD7.pdb?provider=swissmodel&from=33&to=390&template=4hq1.1.A&provider=swissmodel"
"54","C0LGD7","AT1G06840.1","Leucine-rich repeat protein kinase family protein","2.309589236","8.32368e-07","C0LGD7-1","953","5ea0d0cdb7a3f3625a587433b381fcc3","5f0194461890ee9af9acedee","SWISSMODEL","592","899","4l68.2.A","-3.4070475158","0.650949675","39.9339942932","https://swissmodel.expasy.org/repository/uniprot/C0LGD7.pdb?provider=swissmodel&from=592&to=899&template=4l68.2.A&provider=swissmodel"
"55","C0LGD7","AT1G06840.1","Leucine-rich repeat protein kinase family protein","2.309589236","8.32368e-07","C0LGD7-1","953","5ea0d0cdb7a3f3625a587433b381fcc3","5f0194461890ee9af9acede2","SWISSMODEL","33","386","4eco.1.A","-4.9920989552","0.6037433721","21.1764698029","https://swissmodel.expasy.org/repository/uniprot/C0LGD7.pdb?provider=swissmodel&from=33&to=386&template=4eco.1.A&provider=swissmodel"
"56","C0LGD7","AT1G06840.1","Leucine-rich repeat protein kinase family protein","2.309589236","8.32368e-07","C0LGD7-1","953","5ea0d0cdb7a3f3625a587433b381fcc3","5f0194461890ee9af9acede6","SWISSMODEL","44","390","6qwn.2.A","-4.6033740587","0.614572939","22.2222213745","https://swissmodel.expasy.org/repository/uniprot/C0LGD7.pdb?provider=swissmodel&from=44&to=390&template=6qwn.2.A&provider=swissmodel"
"57","C0LGH3","AT1G56140.1","Leucine-rich repeat transmembrane protein kinase","1.764533033","7.51076e-06","C0LGH3-1","1033","16f6f13d3a16ac5aec84bf6bae6bf5a5","5f01d547b5ff2f9f2348ed17","SWISSMODEL","681","979","6cth.1.A","-2.6574125844","0.6756046926","41.5282402039","https://swissmodel.expasy.org/repository/uniprot/C0LGH3.pdb?provider=swissmodel&from=681&to=979&template=6cth.1.A&provider=swissmodel"
"58","C0LGH3","AT1G56140.1","Leucine-rich repeat transmembrane protein kinase","1.764533033","7.51076e-06","C0LGH3-1","1033","16f6f13d3a16ac5aec84bf6bae6bf5a5","5f01d547b5ff2f9f2348ed0f","SWISSMODEL","41","395","6s6q.1.A","-4.8096086695","0.6100480705","30.8139533997","https://swissmodel.expasy.org/repository/uniprot/C0LGH3.pdb?provider=swissmodel&from=41&to=395&template=6s6q.1.A&provider=swissmodel"
"59","C0LGH3","AT1G56140.1","Leucine-rich repeat transmembrane protein kinase","1.764533033","7.51076e-06","C0LGH3-1","1033","16f6f13d3a16ac5aec84bf6bae6bf5a5","5f01d547b5ff2f9f2348ed13","SWISSMODEL","37","394","4hq1.1.A","-3.93581689","0.6360878383","25.9036140442","https://swissmodel.expasy.org/repository/uniprot/C0LGH3.pdb?provider=swissmodel&from=37&to=394&template=4hq1.1.A&provider=swissmodel"
"60","C0LGK4","AT2G16250.1","Leucine-rich repeat protein kinase family protein","1.809672198","2.16078e-06","915","14878f958e9a18847761c41ab393ba66","5f016baeb1e7f6e1e00ba9f3","SWISSMODEL","35","404","4hq1.1.A","-3.7615508518","0.63954237","24.0112991333","https://swissmodel.expasy.org/repository/uniprot/C0LGK4.pdb?provider=swissmodel&from=35&to=404&template=4hq1.1.A&provider=swissmodel","C0LGK4"
"61","C0LGK4","AT2G16250.1","Leucine-rich repeat protein kinase family protein","1.809672198","2.16078e-06","915","14878f958e9a18847761c41ab393ba66","5f016baeb1e7f6e1e00ba9ef","SWISSMODEL","32","404","6fif.1.A","-4.1530651306","0.6238634036","30.7479228973","https://swissmodel.expasy.org/repository/uniprot/C0LGK4.pdb?provider=swissmodel&from=32&to=404&template=6fif.1.A&provider=swissmodel","C0LGK4"
"62","C0LGM1","AT2G37050.3","Leucine-rich repeat protein kinase family protein","1.983036563","1.21912e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"63","C0LGN2","AT3G14840.2","Leucine-rich repeat transmembrane protein kinase","2.076973225","6.32325e-06","C0LGN2-1","1020","a16f31f23d82775893f019afb9aa28b1","5f01ce158ca14f81c97fa545","SWISSMODEL","656","945","3tl8.1.A","-2.025004853","0.6946681835","45.8620681763","https://swissmodel.expasy.org/repository/uniprot/C0LGN2.pdb?provider=swissmodel&from=656&to=945&template=3tl8.1.A&provider=swissmodel"
"64","C0LGN2","AT3G14840.2","Leucine-rich repeat transmembrane protein kinase","2.076973225","6.32325e-06","C0LGN2-1","1020","a16f31f23d82775893f019afb9aa28b1","5f01ce158ca14f81c97fa541","SWISSMODEL","26","368","5xkj.1.A","-4.0165329508","0.6342381314","27.6073627472","https://swissmodel.expasy.org/repository/uniprot/C0LGN2.pdb?provider=swissmodel&from=26&to=368&template=5xkj.1.A&provider=swissmodel"
"65","C0LGN2","AT3G14840.2","Leucine-rich repeat transmembrane protein kinase","2.076973225","6.32325e-06","C0LGN2-1","1020","a16f31f23d82775893f019afb9aa28b1","5f01ce158ca14f81c97fa53d","SWISSMODEL","66","381","5jfi.1.A","-4.9684561453","0.5931904226","29.2063484192","https://swissmodel.expasy.org/repository/uniprot/C0LGN2.pdb?provider=swissmodel&from=66&to=381&template=5jfi.1.A&provider=swissmodel"
"66","C0LGP4","AT3G47570.1","Leucine-rich repeat protein kinase family protein","1.179012513","0.23187063","1010","906433b4751c9857ac0e2e7629a27dea","5f01c8e14cad00d50c2bd808","SWISSMODEL","19","626","6fif.1.A","-3.2371180152","0.6503167216","31.3758392334","https://swissmodel.expasy.org/repository/uniprot/C0LGP4.pdb?provider=swissmodel&from=19&to=626&template=6fif.1.A&provider=swissmodel","C0LGP4"
"67","C0LGP4","AT3G47570.1","Leucine-rich repeat protein kinase family protein","1.179012513","0.23187063","1010","906433b4751c9857ac0e2e7629a27dea","5f01c8e14cad00d50c2bd800","SWISSMODEL","21","614","4mn8.1.A","-3.2523306452","0.6478308788","37.8109436035","https://swissmodel.expasy.org/repository/uniprot/C0LGP4.pdb?provider=swissmodel&from=21&to=614&template=4mn8.1.A&provider=swissmodel","C0LGP4"
"68","C0LGP4","AT3G47570.1","Leucine-rich repeat protein kinase family protein","1.179012513","0.23187063","1010","906433b4751c9857ac0e2e7629a27dea","5f01c8e14cad00d50c2bd804","SWISSMODEL","21","614","4mna.1.A","-2.7100924948","0.6671284123","38.1031608582","https://swissmodel.expasy.org/repository/uniprot/C0LGP4.pdb?provider=swissmodel&from=21&to=614&template=4mna.1.A&provider=swissmodel","C0LGP4"
"69","C0LGP4","AT3G47570.1","Leucine-rich repeat protein kinase family protein","1.179012513","0.23187063","1010","906433b4751c9857ac0e2e7629a27dea","5f01c8e14cad00d50c2bd7fc","SWISSMODEL","20","625","4z63.1.A","-3.4209599834","0.6438845649","31.64128685","https://swissmodel.expasy.org/repository/uniprot/C0LGP4.pdb?provider=swissmodel&from=20&to=625&template=4z63.1.A&provider=swissmodel","C0LGP4"
"70","C0LGT1","AT5G10290.1","leucine-rich repeat transmembrane protein kinase family protein","2.305680369","1.42805e-06","613","c7a72d54ac16afee71d78c19076469a0","5f0020d9a008cf3e6978a0ae","SWISSMODEL","275","584","3tl8.2.A","-0.8610754753","0.7443917123","69.6048660278","https://swissmodel.expasy.org/repository/uniprot/C0LGT1.pdb?provider=swissmodel&from=275&to=584&template=3tl8.2.A&provider=swissmodel","C0LGT1"
"71","C0LGT1","AT5G10290.1","leucine-rich repeat transmembrane protein kinase family protein","2.305680369","1.42805e-06","613","c7a72d54ac16afee71d78c19076469a0","5f0020d9a008cf3e6978a0b2","SWISSMODEL","278","565","1irk.1.A","-4.3335629693","0.5995496525","29.501914978","https://swissmodel.expasy.org/repository/uniprot/C0LGT1.pdb?provider=swissmodel&from=278&to=565&template=1irk.1.A&provider=swissmodel","C0LGT1"
"72","C0Z361","AT5G56500.2","TCP-1/cpn60 chaperonin family protein","1.328451568","0.001066386","597","489184f390a2eaf1c8d8a58fb87aa134","5f000da371a36a747af182a9","SWISSMODEL","52","580","4v4o.1.B","-0.5062033978","0.7495318402","56.1205291748","https://swissmodel.expasy.org/repository/uniprot/C0Z361.pdb?provider=swissmodel&from=52&to=580&template=4v4o.1.B&provider=swissmodel","C0Z361"
"73","C0Z361","AT5G56500.2","TCP-1/cpn60 chaperonin family protein","1.328451568","0.001066386","597","489184f390a2eaf1c8d8a58fb87aa134","5f000da371a36a747af182a5","SWISSMODEL","52","578","4pj1.1.G","-1.4895343892","0.7188809495","48.1904754639","https://swissmodel.expasy.org/repository/uniprot/C0Z361.pdb?provider=swissmodel&from=52&to=578&template=4pj1.1.G&provider=swissmodel","C0Z361"
"74","C0Z361","AT5G56500.2","TCP-1/cpn60 chaperonin family protein","1.328451568","0.001066386","597","489184f390a2eaf1c8d8a58fb87aa134","5f000da371a36a747af1829e","SWISSMODEL","54","579","5cdi.1.A","-1.5119054499","0.7106774633","68.2156143188","https://swissmodel.expasy.org/repository/uniprot/C0Z361.pdb?provider=swissmodel&from=54&to=579&template=5cdi.1.A&provider=swissmodel","C0Z361"
